timestamp,sensor_id,temperature,humidity,power_consumption
2025-10-01T00:00:00Z,S01,21.0,55.7,602.0
2025-10-01T00:00:00Z,S02,19.7,58.6,727.0
2025-10-01T00:00:00Z,S03,20.2,52.8,738.0
2025-10-01T03:00:00Z,S01,24.2,50.3,710.0
2025-10-01T03:00:00Z,S02,23.9,46.8,600.0
2025-10-01T03:00:00Z,S03,23.9,,714.0
2025-10-01T06:00:00Z,S01,26.1,48.4,751.0
2025-10-01T06:00:00Z,S02,26.1,56.9,649.0
2025-10-01T06:00:00Z,S03,25.8,44.9,755.0
2025-10-01T09:00:00Z,S01,24.4,54.9,644.0
2025-10-01T09:00:00Z,S02,24.2,53.9,784.0
2025-10-01T09:00:00Z,S03,23.1,58.8,690.0
2025-10-01T12:00:00Z,S01,20.9,61.2,612.0
2025-10-01T12:00:00Z,S02,20.3,65.5,668.0
2025-10-01T12:00:00Z,S03,21.0,60.5,646.0
2025-10-01T15:00:00Z,S01,16.9,64.7,549.0
2025-10-01T15:00:00Z,S02,16.7,65.9,616.0
2025-10-01T15:00:00Z,S03,18.0,67.0,670.0
2025-10-01T18:00:00Z,S01,14.7,71.2,707.0
2025-10-01T18:00:00Z,S02,15.2,63.6,494.0
2025-10-01T18:00:00Z,S03,16.0,61.1,608.0
2025-10-01T21:00:00Z,S01,16.0,59.9,692.0
2025-10-01T21:00:00Z,S02,16.5,53.9,596.0
2025-10-01T21:00:00Z,S03,16.0,64.9,631.0
2025-10-02T00:00:00Z,S01,21.3,53.3,655.0
2025-10-02T00:00:00Z,S02,22.6,53.6,827.0
2025-10-02T00:00:00Z,S03,20.7,58.5,676.0
2025-10-02T03:00:00Z,S01,24.1,43.0,708.0
2025-10-02T03:00:00Z,S02,24.5,44.9,791.0
2025-10-02T03:00:00Z,S03,24.9,53.7,783.0
2025-10-02T06:00:00Z,S01,25.3,47.8,682.0
2025-10-02T06:00:00Z,S02,26.5,54.4,787.0
2025-10-02T06:00:00Z,S03,24.3,45.7,716.0
2025-10-02T09:00:00Z,S01,24.3,54.8,619.0
2025-10-02T09:00:00Z,S02,23.9,61.1,704.0
2025-10-02T09:00:00Z,S03,23.5,58.6,860.0
2025-10-02T12:00:00Z,S01,21.4,59.4,674.0
2025-10-02T12:00:00Z,S02,20.6,59.0,648.0
2025-10-02T12:00:00Z,S03,21.5,63.3,596.0
2025-10-02T15:00:00Z,S01,17.4,70.5,549.0
2025-10-02T15:00:00Z,S02,16.7,66.7,472.0
2025-10-02T15:00:00Z,S03,17.5,60.1,694.0
2025-10-02T18:00:00Z,S01,15.3,64.4,565.0
2025-10-02T18:00:00Z,S02,14.0,,567.0
2025-10-02T18:00:00Z,S03,16.1,64.9,676.0
2025-10-02T21:00:00Z,S01,18.2,64.8,528.0
2025-10-02T21:00:00Z,S02,16.1,58.1,641.0
2025-10-02T21:00:00Z,S03,18.7,61.5,590.0
2025-10-03T00:00:00Z,S01,22.0,54.4,647.0
2025-10-03T00:00:00Z,S02,19.3,56.9,553.0
2025-10-03T00:00:00Z,S03,21.1,56.1,
2025-10-03T03:00:00Z,S01,24.7,50.5,750.0
2025-10-03T03:00:00Z,S02,22.5,50.2,666.0
2025-10-03T03:00:00Z,S03,24.8,50.9,811.0
2025-10-03T06:00:00Z,S01,26.6,50.7,796.0
2025-10-03T06:00:00Z,S02,24.8,57.1,677.0
2025-10-03T06:00:00Z,S03,27.9,52.0,865.0
2025-10-03T09:00:00Z,S01,25.3,55.8,777.0
2025-10-03T09:00:00Z,S02,25.4,,699.0
2025-10-03T09:00:00Z,S03,24.1,60.9,740.0
2025-10-03T12:00:00Z,S01,21.7,67.9,607.0
2025-10-03T12:00:00Z,S02,20.7,65.3,677.0
2025-10-03T12:00:00Z,S03,20.1,66.1,653.0
2025-10-03T15:00:00Z,S01,17.7,57.6,666.0
2025-10-03T15:00:00Z,S02,18.3,66.0,504.0
2025-10-03T15:00:00Z,S03,17.6,55.6,608.0
2025-10-03T18:00:00Z,S01,16.3,58.0,541.0
2025-10-03T18:00:00Z,S02,16.1,67.8,627.0
2025-10-03T18:00:00Z,S03,16.1,63.9,618.0
2025-10-03T21:00:00Z,S01,17.7,58.4,652.0
2025-10-03T21:00:00Z,S02,17.9,58.7,667.0
2025-10-03T21:00:00Z,S03,16.8,59.7,691.0
2025-10-04T00:00:00Z,S01,19.9,54.2,654.0
2025-10-04T00:00:00Z,S02,20.1,54.0,646.0
2025-10-04T00:00:00Z,S03,19.9,48.0,674.0
2025-10-04T03:00:00Z,S01,24.9,52.7,661.0
2025-10-04T03:00:00Z,S02,24.7,49.9,596.0
2025-10-04T03:00:00Z,S03,26.2,50.7,720.0
2025-10-04T06:00:00Z,S01,24.7,52.6,721.0
2025-10-04T06:00:00Z,S02,26.4,48.1,715.0
2025-10-04T06:00:00Z,S03,26.0,55.3,822.0
2025-10-04T09:00:00Z,S01,23.7,54.4,744.0
2025-10-04T09:00:00Z,S02,23.8,58.1,803.0
2025-10-04T09:00:00Z,S03,23.7,51.9,786.0
2025-10-04T12:00:00Z,S01,21.8,65.4,725.0
2025-10-04T12:00:00Z,S02,21.2,64.1,515.0
2025-10-04T12:00:00Z,S03,21.5,63.0,730.0
2025-10-04T15:00:00Z,S01,17.9,69.3,610.0
2025-10-04T15:00:00Z,S02,17.7,67.8,598.0
2025-10-04T15:00:00Z,S03,17.2,62.5,657.0
2025-10-04T18:00:00Z,S01,17.0,65.7,693.0
2025-10-04T18:00:00Z,S02,15.3,70.4,505.0
2025-10-04T18:00:00Z,S03,15.6,62.7,568.0
2025-10-04T21:00:00Z,S01,17.0,63.6,663.0
2025-10-04T21:00:00Z,S02,16.3,65.3,642.0
2025-10-04T21:00:00Z,S03,17.7,65.4,567.0
2025-10-05T00:00:00Z,S01,19.9,55.1,638.0
2025-10-05T00:00:00Z,S02,19.8,52.9,616.0
